INFO: MineTweaker: Building registry
INFO: MineTweaker: Sucessfully built item registry
INFO: Adding command minetweaker
INFO: Adding minetweaker command mfr
ERROR: TFCPlus.zs:174: Could not resolve <liquid : oil>
ERROR: Error parsing TFCPlus.zs:175 -- ; expected
<bark:item.BambooBarkBasket>, Bamboo Bark Basket
<terrafirmacraftplus:item.OrangeBrandy>, Bottle of Orange Brandy
<terrafirmacraftplus:item.OrangeWine>, Bottle of Orange Wine
<terrafirmacraftplus:item.OrangeWinePottery>, Orange Wine Jug
<terrafirmacraftplus:item.Ore>, Native Copper
<terrafirmacraftplus:item.Paddle>, Paddle
<terrafirmacraftplus:item.Palm Door>, Palm Door
<terrafirmacraftplus:item.Pants Piece>, Wool Pants Piece
<terrafirmacraftplus:item.Papaya>, Papaya
<terrafirmacraftplus:item.Papaya Juice>, Bottle of Papaya Juice
<terrafirmacraftplus:item.Papaya JuicePottery>, Papaya Juice Jug
<terrafirmacraftplus:item.PapayaBrandy>, Bottle of Papaya Brandy
<terrafirmacraftplus:item.PapayaWine>, Bottle of Papaya Wine
<terrafirmacraftplus:item.PapayaWinePottery>, Papaya Wine Jug
<terrafirmacraftplus:item.Peach>, Peach
<terrafirmacraftplus:item.Peach Juice>, Bottle of Peach Juice
<terrafirmacraftplus:item.Peach JuicePottery>, Peach Juice Jug
<terrafirmacraftplus:item.PeachBrandy>, Bottle of Peach Brandy
<terrafirmacraftplus:item.PeachWine>, Bottle of Peach Wine
<terrafirmacraftplus:item.PeachWinePottery>, Peach Wine Jug
<terrafirmacraftplus:item.Pewter Candle Holder>, Pewter Candle Holder
<terrafirmacraftplus:item.Pewter Double Ingot>, Pewter Double Ingot
<terrafirmacraftplus:item.Pewter Double Sheet>, Pewter Double Sheet
<terrafirmacraftplus:item.Pewter Ingot>, Pewter Ingot
<terrafirmacraftplus:item.Pewter Sheet>, Pewter Sheet
<terrafirmacraftplus:item.Pewter Unshaped>, Unshaped: Pewter
<terrafirmacraftplus:item.Pick Mold>, Clay Pick Mold
<terrafirmacraftplus:item.Pig Iron Double Ingot>, Pig Iron Double Ingot
<terrafirmacraftplus:item.Pig Iron Double Sheet>, Pig Iron Double Sheet
<terrafirmacraftplus:item.Pig Iron Ingot>, Pig Iron Ingot
<terrafirmacraftplus:item.Pig Iron Sheet>, Pig Iron Sheet
<terrafirmacraftplus:item.Pig Iron Unshaped>, Unshaped: Pig Iron
<terrafirmacraftplus:item.Pine Door>, Pine Door
<terrafirmacraftplus:item.Platinum Double Ingot>, Platinum Double Ingot
<terrafirmacraftplus:item.Platinum Double Sheet>, Platinum Double Sheet
<terrafirmacraftplus:item.Platinum Ingot>, Platinum Ingot
<terrafirmacraftplus:item.Platinum Sheet>, Platinum Sheet
<terrafirmacraftplus:item.Platinum Unshaped>, Unshaped: Platinum
<terrafirmacraftplus:item.Plum>, Plum
<terrafirmacraftplus:item.Plum Juice>, Bottle of Plum Juice
<terrafirmacraftplus:item.Plum JuicePottery>, Plum Juice Jug
<terrafirmacraftplus:item.PlumBrandy>, Bottle of Plum Brandy
<terrafirmacraftplus:item.PlumWine>, Bottle of Plum Wine
<terrafirmacraftplus:item.PlumWinePottery>, Plum Wine Jug
<terrafirmacraftplus:item.Porkchop>, Pork
<terrafirmacraftplus:item.Potato>, Potato
<terrafirmacraftplus:item.Potato Wine>, Bottle of Potato Wine
<terrafirmacraftplus:item.Potato WinePottery>, Potato Wine Jug
<terrafirmacraftplus:item.Powder>, Flux
<terrafirmacraftplus:item.Prep Hide>, Small Prepared Hide
<terrafirmacraftplus:item.Primitive Bandage>, Primitive Bandage
<terrafirmacraftplus:item.ProPick Mold>, Clay ProPick Mold
<terrafirmacraftplus:item.Pumpkin>, Pumpkin
<terrafirmacraftplus:item.Pumpkin Shell>, Pumpkin Shell
<terrafirmacraftplus:item.Quern>, Handstone
<terrafirmacraftplus:item.Quiver>, Quiver
<terrafirmacraftplus:item.Quiver Piece>, Quiver Side
<terrafirmacraftplus:item.Raspberry>, Raspberries
<terrafirmacraftplus:item.Raw Iron Bloom>, Raw Iron Bloom
<terrafirmacraftplus:item.Red Apple>, Red Apple
<terrafirmacraftplus:item.Red Bell Pepper>, Red Bell Pepper
<terrafirmacraftplus:item.Red Mushroom>, Red Mushroom
<terrafirmacraftplus:item.Red Steel Axe>, Red Steel Axe
<terrafirmacraftplus:item.Red Steel Axe Head>, Red Steel Axe Head
<terrafirmacraftplus:item.Red Steel Boots>, Red Steel Boots
<terrafirmacraftplus:item.Red Steel Bucket Empty>, Red Steel Bucket (Empty)
<terrafirmacraftplus:item.Red Steel Bucket Salt Water>, Red Steel Bucket (Salt Water)
<terrafirmacraftplus:item.Red Steel Bucket Tannin>, Red Steel Bucket (Tannin)
<terrafirmacraftplus:item.Red Steel Bucket Water>, Red Steel Bucket (Fresh Water)
<terrafirmacraftplus:item.Red Steel Chestplate>, Red Steel Chestplate
<terrafirmacraftplus:item.Red Steel Chisel>, Red Steel Chisel
<terrafirmacraftplus:item.Red Steel Chisel Head>, Red Steel Chisel Head
<terrafirmacraftplus:item.Red Steel Double Ingot>, Red Steel Double Ingot
<terrafirmacraftplus:item.Red Steel Double Sheet>, Red Steel Double Sheet
<terrafirmacraftplus:item.Red Steel Greaves>, Red Steel Greaves
<terrafirmacraftplus:item.Red Steel Hammer>, Red Steel Hammer
<terrafirmacraftplus:item.Red Steel Hammer Head>, Red Steel Hammer Head
<terrafirmacraftplus:item.Red Steel Helmet>, Red Steel Helmet
<terrafirmacraftplus:item.Red Steel Hoe>, Red Steel Hoe
<terrafirmacraftplus:item.Red Steel Hoe Head>, Red Steel Hoe Head
<terrafirmacraftplus:item.Red Steel Ingot>, Red Steel Ingot
<terrafirmacraftplus:item.Red Steel Javelin>, Red Steel Javelin
<terrafirmacraftplus:item.Red Steel Javelin Head>, Red Steel Javelin Head
<terrafirmacraftplus:item.Red Steel Knife>, Red Steel Knife
<terrafirmacraftplus:item.Red Steel Knife Blade>, Red Steel Knife Blade
<terrafirmacraftplus:item.Red Steel Mace>, Red Steel Mace
<terrafirmacraftplus:item.Red Steel Mace Head>, Red Steel Mace Head
<terrafirmacraftplus:item.Red Steel Pick>, Red Steel Pickaxe
<terrafirmacraftplus:item.Red Steel Pick Head>, Red Steel Pickaxe Head
<terrafirmacraftplus:item.Red Steel ProPick>, Red Steel Prospector's Pick
<terrafirmacraftplus:item.Red Steel ProPick Head>, Red Steel Prospector's Pick Head
<terrafirmacraftplus:item.Red Steel Saw>, Red Steel Saw
<terrafirmacraftplus:item.Red Steel Saw Blade>, Red Steel Saw Blade
<terrafirmacraftplus:item.Red Steel Scythe>, Red Steel Scythe
<terrafirmacraftplus:item.Red Steel Scythe Blade>, Red Steel Scythe Blade
<terrafirmacraftplus:item.Red Steel Sheet>, Red Steel Sheet
<terrafirmacraftplus:item.Red Steel Shovel>, Red Steel Shovel
<terrafirmacraftplus:item.Red Steel Shovel Head>, Red Steel Shovel Head
<terrafirmacraftplus:item.Red Steel Sword>, Red Steel Sword
<terrafirmacraftplus:item.Red Steel Sword Blade>, Red Steel Sword Blade
<terrafirmacraftplus:item.Red Steel Trowel>, Red Steel Mason's Trowel
<terrafirmacraftplus:item.Red Steel Trowel Head>, Red Steel Mason's Trowel Head
<terrafirmacraftplus:item.Red Steel Tuyere>, Red Steel Tuyere
<terrafirmacraftplus:item.Red Steel Unfinished Boots>, Unfinished Red Steel Boots
<terrafirmacraftplus:item.Red Steel Unfinished Chestplate>, Unfinished Red Steel Chestplate
<terrafirmacraftplus:item.Red Steel Unfinished Greaves>, Unfinished Red Steel Greaves
<terrafirmacraftplus:item.Red Steel Unfinished Helmet>, Unfinished Red Steel Helmet
<terrafirmacraftplus:item.Red Steel Unshaped>, Unshaped: Red Steel
<terrafirmacraftplus:item.Reeds>, Reeds
<terrafirmacraftplus:item.Repair Patch>, Wool Scrap
<terrafirmacraftplus:item.Resin>, Resin
<terrafirmacraftplus:item.Rice Beer>, Bottle of Rice Beer
<terrafirmacraftplus:item.Rice BeerPottery>, Rice Beer Jug
<terrafirmacraftplus:item.Rice Bread>, Rice Bread
<terrafirmacraftplus:item.Rice Dough>, Rice Dough
<terrafirmacraftplus:item.Rice Germ>, Rice Malt
<terrafirmacraftplus:item.Rice Grain>, Rice Grain
<terrafirmacraftplus:item.Rice Ground>, Rice Flour
<terrafirmacraftplus:item.Rice Whole>, Rice
<terrafirmacraftplus:item.RiceWhiskey>, Bottle of Rice Whiskey
<terrafirmacraftplus:item.Rope>, Rope
<terrafirmacraftplus:item.RopeLadder>, Rope Ladder
<terrafirmacraftplus:item.Rose Gold Candle Holder>, Rose Gold Candle Holder
<terrafirmacraftplus:item.Rose Gold Double Ingot>, Rose Gold Double Ingot
<terrafirmacraftplus:item.Rose Gold Double Sheet>, Rose Gold Double Sheet
<terrafirmacraftplus:item.Rose Gold Ingot>, Rose Gold Ingot
<terrafirmacraftplus:item.Rose Gold Sheet>, Rose Gold Sheet
<terrafirmacraftplus:item.Rose Gold Unshaped>, Unshaped: Rose Gold
<terrafirmacraftplus:item.Ruby>, Chipped Ruby
<terrafirmacraftplus:item.Rum>, Bottle of Rum
<terrafirmacraftplus:item.Rye Beer>, Bottle of Rye Beer
<terrafirmacraftplus:item.Rye BeerPottery>, Rye Beer Jug
<terrafirmacraftplus:item.Rye Bread>, Rye Bread
<terrafirmacraftplus:item.Rye Dough>, Rye Dough
<terrafirmacraftplus:item.Rye Germ>, Rye Malt
<terrafirmacraftplus:item.Rye Grain>, Rye Grain
<terrafirmacraftplus:item.Rye Ground>, Rye Flour
<terrafirmacraftplus:item.Rye Whole>, Rye
<terrafirmacraftplus:item.Rye Wine>, Bottle of Rye Wine
<terrafirmacraftplus:item.Rye WinePottery>, Rye Wine Jug
<terrafirmacraftplus:item.RyeWhiskey>, Bottle of Rye Whiskey
<terrafirmacraftplus:item.Sack Piece>, Burlap Sack Piece
<terrafirmacraftplus:item.Saddle Piece>, Saddle Leather
<terrafirmacraftplus:item.Sake>, Bottle of Sake
<terrafirmacraftplus:item.SakePottery>, Sake Jug
<terrafirmacraftplus:item.Salad>, Salad
<terrafirmacraftplus:item.Sandwich>, Sandwich
<terrafirmacraftplus:item.Sapphire>, Chipped Sapphire
<terrafirmacraftplus:item.Saw Mold>, Clay Saw Mold
<terrafirmacraftplus:item.ScallopRaw>, Scallop
<terrafirmacraftplus:item.Scraped Hide>, Small Scraped Hide
<terrafirmacraftplus:item.Scythe Mold>, Clay Scythe Mold
<terrafirmacraftplus:item.Sea Weed>, Sea Weed
<terrafirmacraftplus:item.SeastarRaw>, Seastar
<terrafirmacraftplus:item.Sed Stone Axe>, Stone Axe
<terrafirmacraftplus:item.Sed Stone Axe Head>, Stone Axe Head
<terrafirmacraftplus:item.Sed Stone Hoe>, Stone Hoe
<terrafirmacraftplus:item.Sed Stone Hoe Head>, Stone Hoe Head
<terrafirmacraftplus:item.Sed Stone Javelin>, Stone Javelin
<terrafirmacraftplus:item.Sed Stone Javelin Head>, Stone Javelin Head
<terrafirmacraftplus:item.Sed Stone Shovel>, Stone Shovel
<terrafirmacraftplus:item.Sed Stone Shovel Head>, Stone Shovel Head
<terrafirmacraftplus:item.Seeds Agave>, Agave Seeds
<terrafirmacraftplus:item.Seeds Barley>, Barley Seeds
<terrafirmacraftplus:item.Seeds Black-Eyed Peas>, Black-Eyed Pea Seeds
<terrafirmacraftplus:item.Seeds Cabbage>, Cabbage Seeds
<terrafirmacraftplus:item.Seeds Carrot>, Carrot Seeds
<terrafirmacraftplus:item.Seeds Cotton>, Cotton Seeds
<terrafirmacraftplus:item.Seeds Flax>, Flax Seeds
<terrafirmacraftplus:item.Seeds Garlic>, Garlic Seeds
<terrafirmacraftplus:item.Seeds Grapes>, Grape Seeds
<terrafirmacraftplus:item.Seeds Greenbean>, Green Bean Seeds
<terrafirmacraftplus:item.Seeds Jute>, Jute Seeds
<terrafirmacraftplus:item.Seeds Madder>, Madder Seeds
<terrafirmacraftplus:item.Seeds Maize>, Maize Seeds
<terrafirmacraftplus:item.Seeds Melon>, Melon Seeds
<terrafirmacraftplus:item.Seeds Oat>, Oat Seeds
<terrafirmacraftplus:item.Seeds Onion>, Onion Seeds
<terrafirmacraftplus:item.Seeds Potato>, Potato Seeds
<terrafirmacraftplus:item.Seeds Pumpkin>, Pumpkin Seeds
<terrafirmacraftplus:item.Seeds Red Bell Pepper>, Red Bell Pepper Seeds
<terrafirmacraftplus:item.Seeds Rice>, Rice Seeds
<terrafirmacraftplus:item.Seeds Rye>, Rye Seeds
<terrafirmacraftplus:item.Seeds Soybean>, Soybean Seeds
<terrafirmacraftplus:item.Seeds Squash>, Squash Seeds
<terrafirmacraftplus:item.Seeds Sugarcane>, Sugarcane Seeds
<terrafirmacraftplus:item.Seeds Tomato>, Tomato Seeds
<terrafirmacraftplus:item.Seeds Weld>, Weld Seeds
<terrafirmacraftplus:item.Seeds Wheat>, Wheat Seeds
<terrafirmacraftplus:item.Seeds Woad>, Woad Seeds
<terrafirmacraftplus:item.Seeds Yellow Bell Pepper>, Yellow Bell Pepper Seeds
<terrafirmacraftplus:item.Sequoia Door>, Sequoia Door
<terrafirmacraftplus:item.Sextant>, Unfinished Brass Sextant
<terrafirmacraftplus:item.Sheep Skin>, Small Sheepskin
<terrafirmacraftplus:item.Sheet Mold>, Clay Sheet Mold
<terrafirmacraftplus:item.Shirt Body>, Wool Shirt Body
<terrafirmacraftplus:item.Shirt Sleeves>, Wool Shirt Sleeves
<terrafirmacraftplus:item.Shochu>, Bottle of Shochu
<terrafirmacraftplus:item.Short Shirt Sleeves>, Wool Short Shirt Sleeves
<terrafirmacraftplus:item.Shorts Piece>, Wool Shorts Piece
<terrafirmacraftplus:item.Shovel Mold>, Clay Shovel Mold
<terrafirmacraftplus:item.Silica>, Silica
<terrafirmacraftplus:item.Silk Cloak>, Silk Cloak
<terrafirmacraftplus:item.Silk Coat>, Silk Coat
<terrafirmacraftplus:item.Silk Hat>, Silk Hat
<terrafirmacraftplus:item.Silk Pants>, Silk Pants
<terrafirmacraftplus:item.Silk Robe>, Silk Robe
<terrafirmacraftplus:item.Silk Shirt>, Silk Shirt
<terrafirmacraftplus:item.Silk Shorts>, Silk Shorts
<terrafirmacraftplus:item.Silk Skirt>, Silk Skirt
<terrafirmacraftplus:item.Silk Sleeveless Shirt>, Silk Sleeveless Shirt
<terrafirmacraftplus:item.Silk Socks>, Silk Socks
<terrafirmacraftplus:item.Silk TShirt>, Silk T-Shirt
<terrafirmacraftplus:item.SilkCloth>, Silk Cloth
<terrafirmacraftplus:item.SilkString>, Silk String
<terrafirmacraftplus:item.Silver Candle Holder>, Silver Candle Holder
<terrafirmacraftplus:item.Silver Double Ingot>, Silver Double Ingot
<terrafirmacraftplus:item.Silver Double Sheet>, Silver Double Sheet
<terrafirmacraftplus:item.Silver Ingot>, Silver Ingot
<terrafirmacraftplus:item.Silver Sheet>, Silver Sheet
<terrafirmacraftplus:item.Silver Unshaped>, Unshaped: Silver
<terrafirmacraftplus:item.Sinew>, Sinew
<terrafirmacraftplus:item.SinglePlank>, Oak Lumber
<terrafirmacraftplus:item.Sisal Fibre>, Sisal Fibers
<terrafirmacraftplus:item.Skirt Piece>, Wool Skirt Piece
<terrafirmacraftplus:item.Slate Shingle>, Slate Shingle
<terrafirmacraftplus:item.SluiceItem>, Sluice
<terrafirmacraftplus:item.Small Ore>, Native Copper Nugget
<terrafirmacraftplus:item.Small Vessel>, Clay Vessel
<terrafirmacraftplus:item.Snowberry>, Snowberries
<terrafirmacraftplus:item.Soaked Hide>, Small Soaked Hide
<terrafirmacraftplus:item.Sock Cloth>, Wool Sock Cloth
<terrafirmacraftplus:item.Soda>, Soda Ash
<terrafirmacraftplus:item.Soybeans>, Soybeans
<terrafirmacraftplus:item.Spindle>, Spindle
<terrafirmacraftplus:item.Spindle Head>, Clay Spindle
<terrafirmacraftplus:item.Splint>, Splint
<terrafirmacraftplus:item.Spruce Door>, Spruce Door
<terrafirmacraftplus:item.Squash>, Squash
<terrafirmacraftplus:item.Stacked Log>, Stacked Oak Log
<terrafirmacraftplus:item.Steel Axe>, Steel Axe
<terrafirmacraftplus:item.Steel Axe Head>, Steel Axe Head
<terrafirmacraftplus:item.Steel Boots>, Steel Boots
<terrafirmacraftplus:item.Steel Chestplate>, Steel Chestplate
<terrafirmacraftplus:item.Steel Chisel>, Steel Chisel
<terrafirmacraftplus:item.Steel Chisel Head>, Steel Chisel Head
<terrafirmacraftplus:item.Steel Double Ingot>, Steel Double Ingot
<terrafirmacraftplus:item.Steel Double Sheet>, Steel Double Sheet
<terrafirmacraftplus:item.Steel Greaves>, Steel Greaves
<terrafirmacraftplus:item.Steel Hammer>, Steel Hammer
<terrafirmacraftplus:item.Steel Hammer Head>, Steel Hammer Head
<terrafirmacraftplus:item.Steel Helmet>, Steel Helmet
<terrafirmacraftplus:item.Steel Hoe>, Steel Hoe
<terrafirmacraftplus:item.Steel Hoe Head>, Steel Hoe Head
<terrafirmacraftplus:item.Steel Ingot>, Steel Ingot
<terrafirmacraftplus:item.Steel Javelin>, Steel Javelin
<terrafirmacraftplus:item.Steel Javelin Head>, Steel Javelin Head
<terrafirmacraftplus:item.Steel Knife>, Steel Knife
<terrafirmacraftplus:item.Steel Knife Blade>, Steel Knife Blade
<terrafirmacraftplus:item.Steel Mace>, Steel Mace
<terrafirmacraftplus:item.Steel Mace Head>, Steel Mace Head
<terrafirmacraftplus:item.Steel Pick>, Steel Pickaxe
<terrafirmacraftplus:item.Steel Pick Head>, Steel Pickaxe Head
<terrafirmacraftplus:item.Steel ProPick>, Steel Prospector's Pick
<terrafirmacraftplus:item.Steel ProPick Head>, Steel Prospector's Pick Head
<terrafirmacraftplus:item.Steel Saw>, Steel Saw
<terrafirmacraftplus:item.Steel Saw Blade>, Steel Saw Blade
<terrafirmacraftplus:item.Steel Scythe>, Steel Scythe
<terrafirmacraftplus:item.Steel Scythe Blade>, Steel Scythe Blade
<terrafirmacraftplus:item.Steel Sheet>, Steel Sheet
<terrafirmacraftplus:item.Steel Shovel>, Steel Shovel
<terrafirmacraftplus:item.Steel Shovel Head>, Steel Shovel Head
<terrafirmacraftplus:item.Steel Sword>, Steel Sword
<terrafirmacraftplus:item.Steel Sword Blade>, Steel Sword Blade
<terrafirmacraftplus:item.Steel Trowel>, Steel Mason's Trowel
<terrafirmacraftplus:item.Steel Trowel Head>, Steel Mason's Trowel Head
<terrafirmacraftplus:item.Steel Tuyere>, Steel Tuyere
<terrafirmacraftplus:item.Steel Unfinished Boots>, Unfinished Steel Boots
<terrafirmacraftplus:item.Steel Unfinished Chestplate>, Unfinished Steel Chestplate
<terrafirmacraftplus:item.Steel Unfinished Greaves>, Unfinished Steel Greaves
<terrafirmacraftplus:item.Steel Unfinished Helmet>, Unfinished Steel Helmet
<terrafirmacraftplus:item.Steel Unshaped>, Unshaped: Steel
<terrafirmacraftplus:item.Sterile Bandage>, Sterile Bandages
<terrafirmacraftplus:item.Sterling Silver Candle Holder>, Sterling Silver Candle Holder
<terrafirmacraftplus:item.Sterling Silver Double Ingot>, Sterling Silver Double Ingot
<terrafirmacraftplus:item.Sterling Silver Double Sheet>, Sterling Silver Double Sheet
<terrafirmacraftplus:item.Sterling Silver Ingot>, Sterling Silver Ingot
<terrafirmacraftplus:item.Sterling Silver Sheet>, Sterling Silver Sheet
<terrafirmacraftplus:item.Sterling Silver Unshaped>, Unshaped: Sterling Silver
<terrafirmacraftplus:item.StickBundle>, Bundle of Sticks
<terrafirmacraftplus:item.Stone Hammer>, Stone Hammer
<terrafirmacraftplus:item.Stone Hammer Head>, Stone Hammer Head
<terrafirmacraftplus:item.Stone Knife>, Stone Knife
<terrafirmacraftplus:item.Stone Knife Blade>, Stone Knife Blade
<terrafirmacraftplus:item.StoneFlake>, Stone Flake
<terrafirmacraftplus:item.Strap>, Leather Strap
<terrafirmacraftplus:item.Straw>, Straw
<terrafirmacraftplus:item.Straw Basket>, Straw Basket
<terrafirmacraftplus:item.Straw Hat>, Straw Hat
<terrafirmacraftplus:item.Straw Hat2>, Straw Hat
<terrafirmacraftplus:item.Straw Socks>, Straw Foot Wraps
<terrafirmacraftplus:item.StrawCordage>, Grass Cordage
<terrafirmacraftplus:item.Strawberry>, Strawberries
<terrafirmacraftplus:item.Sugar>, Sugar
<terrafirmacraftplus:item.Sugarcane>, Sugarcane
<terrafirmacraftplus:item.Sword Mold>, Clay Sword Mold
<terrafirmacraftplus:item.Sycamore Door>, Sycamore Door
<terrafirmacraftplus:item.TFC Leather>, Leather
<terrafirmacraftplus:item.Teak Door>, Teak Door
<terrafirmacraftplus:item.Tequila>, Tequila
<terrafirmacraftplus:item.Thick Log>, Large Oak Log
<terrafirmacraftplus:item.Tin Double Ingot>, Tin Double Ingot
<terrafirmacraftplus:item.Tin Double Sheet>, Tin Double Sheet
<terrafirmacraftplus:item.Tin Ingot>, Tin Ingot
<terrafirmacraftplus:item.Tin Sheet>, Tin Sheet
<terrafirmacraftplus:item.Tin Unshaped>, Unshaped: Tin
<terrafirmacraftplus:item.Tomato>, Tomato
<terrafirmacraftplus:item.Topaz>, Chipped Topaz
<terrafirmacraftplus:item.Tourmaline>, Chipped Tourmaline
<terrafirmacraftplus:item.Trowel Mold>, Clay Trowel Mold
<terrafirmacraftplus:item.Unfired Clay Bucket>, Clay Bucket
<terrafirmacraftplus:item.Unknown Ingot>, Unknown Ingot
<terrafirmacraftplus:item.Unknown Unshaped>, Unshaped: Unknown
<terrafirmacraftplus:item.Venison>, Venison
<terrafirmacraftplus:item.Vodka>, Bottle of Vodka
<terrafirmacraftplus:item.Water Bottle>, Bottle of Water
<terrafirmacraftplus:item.Water BottlePottery>, Water Jug
<terrafirmacraftplus:item.Waterskin>, Waterskin
<terrafirmacraftplus:item.WaterskinEmpty>, Empty Waterskin
<terrafirmacraftplus:item.Wattle Door>, Wattle Door
<terrafirmacraftplus:item.Weak Blue Steel Ingot>, Weak Blue Steel Ingot
<terrafirmacraftplus:item.Weak Blue Steel Unshaped>, Unshaped: Weak Blue Steel
<terrafirmacraftplus:item.Weak Red Steel Ingot>, Weak Red Steel Ingot
<terrafirmacraftplus:item.Weak Red Steel Unshaped>, Unshaped: Weak Red Steel
<terrafirmacraftplus:item.Weak Steel Ingot>, Weak Steel Ingot
<terrafirmacraftplus:item.Weak Steel Unshaped>, Unshaped: Weak Steel
<terrafirmacraftplus:item.Weld Root>, Weld Root
<terrafirmacraftplus:item.Wheat Beer>, Bottle of Wheat Beer
<terrafirmacraftplus:item.Wheat BeerPottery>, Wheat Beer Jug
<terrafirmacraftplus:item.Wheat Bread>, Wheat Bread
<terrafirmacraftplus:item.Wheat Dough>, Wheat Dough
<terrafirmacraftplus:item.Wheat Germ>, Wheat Malt
<terrafirmacraftplus:item.Wheat Grain>, Wheat Grain
<terrafirmacraftplus:item.Wheat Ground>, Wheat Flour
<terrafirmacraftplus:item.Wheat Whole>, Wheat
<terrafirmacraftplus:item.Wheat Wine>, Bottle of Wheat Wine
<terrafirmacraftplus:item.Wheat WinePottery>, Wheat Wine Jug
<terrafirmacraftplus:item.Whiskey>, Bottle of Whiskey
<terrafirmacraftplus:item.White Cedar Door>, White Cedar Door
<terrafirmacraftplus:item.White Elm Door>, White Elm Door
<terrafirmacraftplus:item.Wicker>, Wicker
<terrafirmacraftplus:item.Willow Door>, Willow Door
<terrafirmacraftplus:item.Wine>, Bottle of Wine
<terrafirmacraftplus:item.WinePottery>, Wine Jug
<terrafirmacraftplus:item.Wintergreen Berry>, Wintergreen Berries
<terrafirmacraftplus:item.Woad Leaves>, Woad Leaves
<terrafirmacraftplus:item.Wolf Fur>, Small Wolf Fur
<terrafirmacraftplus:item.Wolf Fur Boots>, Wolf Fur Boots
<terrafirmacraftplus:item.Wolf Fur Cloak>, Wolf Fur Cloak
<terrafirmacraftplus:item.Wolf Fur Coat>, Wolf Fur Coat
<terrafirmacraftplus:item.Wolf Fur Generic Hat>, Wolf Fur Hat
<terrafirmacraftplus:item.Wolf Fur Hat>, Wolf Fur Hat
<terrafirmacraftplus:item.Wolf Fur Pants>, Wolf Fur Pants
<terrafirmacraftplus:item.Wolf Fur Scrap>, Small Wolf Fur Scrap
<terrafirmacraftplus:item.WoodGear>, Wooden Gear (0 teeth)
<terrafirmacraftplus:item.Wooden Bucket Empty>, Wooden Bucket (Empty)
<terrafirmacraftplus:item.Wooden Bucket Gypsum>, Plaster of Paris (Solid)
<terrafirmacraftplus:item.Wooden Bucket Honey>, Wooden Bucket (Honey)
<terrafirmacraftplus:item.Wooden Bucket Milk>, Wooden Bucket (Milk)
<terrafirmacraftplus:item.Wooden Bucket Pitch>, Wooden Bucket (Pitch)
<terrafirmacraftplus:item.Wooden Bucket Plaster>, Plaster of Paris (Liquid)
<terrafirmacraftplus:item.Wooden Bucket Salt Water>, Wooden Bucket (Salt Water)
<terrafirmacraftplus:item.Wooden Bucket Vinegar>, Wooden Bucket (Vinegar)
<terrafirmacraftplus:item.Wooden Bucket Water>, Wooden Bucket (Fresh Water)
<terrafirmacraftplus:item.Wooden Spear>, Wooden Spear
<terrafirmacraftplus:item.Wooden Spear Bundle>, Wooden Spear Bundle
<terrafirmacraftplus:item.Wooden Staff>, Wooden Staff
<terrafirmacraftplus:item.Wool>, Wool
<terrafirmacraftplus:item.Wool Cloak>, Wool Cloak
<terrafirmacraftplus:item.Wool Coat>, Wool Coat
<terrafirmacraftplus:item.Wool Hat>, Wool Hat
<terrafirmacraftplus:item.Wool Pants>, Wool Pants
<terrafirmacraftplus:item.Wool Robe>, Wool Robe
<terrafirmacraftplus:item.Wool Shirt>, Wool Shirt
<terrafirmacraftplus:item.Wool Shorts>, Wool Shorts
<terrafirmacraftplus:item.Wool Skirt>, Wool Skirt
<terrafirmacraftplus:item.Wool Sleeveless Shirt>, Wool Sleeveless Shirt
<terrafirmacraftplus:item.Wool Socks>, Wool Socks
<terrafirmacraftplus:item.Wool TShirt>, Wool T-Shirt
<terrafirmacraftplus:item.WoolCloth>, Wool Cloth
<terrafirmacraftplus:item.WoolYarn>, Wool Yarn
<terrafirmacraftplus:item.Wrought Iron Axe>, Wrought Iron Axe
<terrafirmacraftplus:item.Wrought Iron Axe Head>, Wrought Iron Axe Head
<terrafirmacraftplus:item.Wrought Iron Boots>, Wrought Iron Boots
<terrafirmacraftplus:item.Wrought Iron Chestplate>, Wrought Iron Chestplate
<terrafirmacraftplus:item.Wrought Iron Chisel>, Wrought Iron Chisel
<terrafirmacraftplus:item.Wrought Iron Chisel Head>, Wrought Iron Chisel Head
<terrafirmacraftplus:item.Wrought Iron Double Ingot>, Wrought Iron Double Ingot
<terrafirmacraftplus:item.Wrought Iron Double Sheet>, Wrought Iron Double Sheet
<terrafirmacraftplus:item.Wrought Iron Greaves>, Wrought Iron Greaves
<terrafirmacraftplus:item.Wrought Iron Hammer>, Wrought Iron Hammer
<terrafirmacraftplus:item.Wrought Iron Hammer Head>, Wrought Iron Hammer Head
<terrafirmacraftplus:item.Wrought Iron Helmet>, Wrought Iron Helmet
<terrafirmacraftplus:item.Wrought Iron Hoe>, Wrought Iron Hoe
<terrafirmacraftplus:item.Wrought Iron Hoe Head>, Wrought Iron Hoe Head
<terrafirmacraftplus:item.Wrought Iron Ingot>, Wrought Iron Ingot
<terrafirmacraftplus:item.Wrought Iron Javelin>, Wrought Iron Javelin
<terrafirmacraftplus:item.Wrought Iron Javelin Head>, Wrought Iron Javelin Head
<terrafirmacraftplus:item.Wrought Iron Knife>, Wrought Iron Knife
<terrafirmacraftplus:item.Wrought Iron Knife Blade>, Wrought Iron Knife Blade
<terrafirmacraftplus:item.Wrought Iron Mace>, Wrought Iron Mace
